# Nmax = 7
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
10.4881 8.4536 0.0113   7 6 -5   6 6 5   1 1 1   (1)
10.4881 8.4794 0.0112   7 6 5   6 -6 1   -1 5 1   (1)
10.4881 8.4885 0.0112   6 5 -7   1 5 7   0 1 2   (1)
10.4881 8.5008 0.0112   7 6 5   -4 4 7   0 3 4   (1)
10.4881 8.5142 0.0112   7 5 -6   7 3 5   1 0 3   (1)
10.4881 8.5248 0.0112   7 5 6   -6 6 1   0 5 3   (1)
10.4881 8.5435 0.0112   7 5 6   1 6 -6   2 2 1   (1)
10.4881 8.5568 0.0111   7 6 5   -7 5 1   4 0 1   (1)
10.4881 8.5764 0.0111   7 5 -6   5 0 7   3 1 1   (1)
10.4881 8.5843 0.0111   7 6 5   -5 7 1   1 4 2   (1)
10.4881 8.5859 0.0111   6 -7 5   4 5 6   1 3 2   (1)
10.4881 8.5891 0.0111   7 6 5   0 -5 7   2 2 1   (1)
10.4881 8.6018 0.0111   7 5 6   4 3 -7   0 0 1   (1)
10.4881 8.6266 0.0111   7 6 5   5 7 -5   3 2 4   (1)
10.4881 8.6413 0.0110   7 6 -5   5 1 7   1 0 2   (1)
10.4881 8.6440 0.0110   7 6 5   2 -5 7   2 1 2   (1)
10.4881 8.6524 0.0110   7 -5 6   5 6 5   1 1 1   (1)
10.4881 8.6582 0.0110   7 6 -5   1 5 7   2 3 1   (1)
10.4881 8.6817 0.0110   7 6 5   -5 7 2   0 2 1   (1)
10.4881 8.6870 0.0110   7 6 5   6 -4 7   3 3 2   (1)
10.4881 8.7277 0.0109   7 5 6   -4 5 7   0 3 4   (1)
10.4881 8.7417 0.0109   7 5 6   -6 4 5   1 0 0   (1)
10.4881 8.7495 0.0109   7 5 6   -6 5 4   0 1 1   (1)
10.4881 8.7667 0.0109   7 5 6   3 7 -5   1 0 2   (1)
10.4881 8.7900 0.0108   7 5 6   2 -7 5   3 1 3   (1)
10.4881 8.8065 0.0108   7 5 6   -4 7 5   4 0 1   (1)
10.4881 8.8271 0.0108   7 6 5   5 -7 2   1 3 1   (1)
10.4881 8.8528 0.0108   7 6 -5   4 4 7   1 1 2   (1)
10.4881 8.8595 0.0108   6 5 -7   7 7 3   2 2 1   (1)
10.4881 8.8657 0.0108   7 5 6   -5 3 7   2 1 1   (1)
10.4881 8.9473 0.0107   7 5 6   5 -7 3   1 2 1   (1)
10.4881 8.9499 0.0107   7 -6 5   4 5 7   0 2 1   (1)
10.4881 8.9590 0.0106   7 6 5   7 2 -6   5 3 0   (1)
10.4881 8.9620 0.0106   7 6 5   7 1 -6   1 1 1   (1)
10.4881 8.9818 0.0106   7 6 5   3 5 -7   1 0 4   (1)
10.4881 8.9874 0.0106   6 5 -7   4 4 7   1 1 2   (1)
10.4881 8.9980 0.0106   7 5 6   6 -6 5   0 1 0   (1)
10.4881 9.0308 0.0106   7 6 5   7 3 -6   3 2 0   (1)
10.4881 9.0398 0.0105   7 6 5   -7 0 6   1 1 1   (1)
10.4881 9.0784 0.0105   7 6 5   5 -7 3   3 0 2   (1)
10.4881 9.0925 0.0105   7 6 5   -7 3 5   1 2 2   (1)
10.4881 9.0950 0.0105   7 6 -5   1 7 6   2 3 0   (1)
10.4881 9.1024 0.0105   7 5 6   2 -6 7   2 1 2   (1)
10.4881 9.1309 0.0104   7 5 6   -5 4 7   0 2 3   (1)
10.4881 9.1324 0.0104   7 6 5   -4 7 6   1 0 0   (1)
10.4881 9.1358 0.0104   7 5 -6   7 0 6   4 1 1   (1)
10.4881 9.1483 0.0104   7 6 -5   0 7 6   1 4 2   (1)
10.4881 9.1706 0.0104   7 6 5   3 7 -6   4 5 0   (1)
10.4881 9.1899 0.0104   7 5 6   5 7 -5   3 2 3   (1)
10.4881 9.1904 0.0104   6 -7 5   5 6 5   1 1 1   (1)
10.4881 9.1954 0.0104   7 6 5   6 0 -7   1 1 1   (1)
10.4881 9.2191 0.0103   7 6 5   0 6 -7   3 1 4   (1)
10.4881 9.2299 0.0103   7 5 6   4 -7 5   1 6 0   (1)
10.4881 9.2584 0.0103   7 6 -5   6 2 7   5 3 1   (1)
10.4881 9.2614 0.0103   7 5 -6   1 6 7   0 2 3   (1)
10.4881 9.2731 0.0103   7 6 5   -6 1 7   1 1 1   (1)
10.4881 9.2981 0.0103   7 6 -5   4 7 6   0 2 5   (1)
10.4881 9.3249 0.0102   7 6 -5   2 6 7   0 1 2   (1)
10.4881 9.3857 0.0102   7 -6 5   6 7 2   1 3 0   (1)
10.4881 9.3900 0.0102   7 6 5   7 -5 6   3 4 2   (1)
10.4881 9.3949 0.0101   6 5 -7   6 6 5   1 1 1   (1)
10.4881 9.3978 0.0101   7 5 6   6 -7 3   2 3 2   (1)
10.4881 9.4055 0.0101   7 5 6   5 4 -7   4 3 0   (1)
10.4881 9.4103 0.0101   7 6 5   -7 2 6   3 1 0   (1)
10.4881 9.4219 0.0101   7 5 6   -6 7 2   4 -1 1   (1)
10.4881 9.4287 0.0101   7 -6 5   4 7 5   2 1 2   (1)
10.4881 9.4296 0.0101   7 5 6   -7 2 6   2 1 1   (1)
10.4881 9.4321 0.0101   7 5 -6   2 6 7   3 4 1   (1)
10.4881 9.4528 0.0101   7 -6 5   5 6 6   3 1 3   (1)
10.4881 9.4705 0.0101   7 5 6   -5 5 7   4 1 1   (1)
10.4881 9.4825 0.0101   7 6 5   5 7 -6   2 1 4   (1)
10.4881 9.4864 0.0101   7 5 6   -7 4 5   1 0 0   (1)
10.4881 9.5299 0.0100   7 5 6   -5 7 5   1 2 2   (1)
10.4881 9.5446 0.0100   7 6 5   7 -6 4   3 1 2   (1)
10.4881 9.5893 0.0099   7 -6 5   6 7 3   1 6 0   (1)
10.4881 9.6007 0.0099   6 -7 5   7 4 7   2 1 2   (1)
10.4881 9.6054 0.0099   7 6 5   6 4 -7   1 1 2   (1)
10.4881 9.6385 0.0099   7 5 6   -6 7 3   5 -1 1   (1)
10.4881 9.6573 0.0099   7 5 -6   3 6 7   0 2 5   (1)
10.4881 9.6982 0.0098   7 5 6   -6 6 5   0 1 1   (1)
10.4881 9.7146 0.0098   7 5 6   4 7 -6   2 0 5   (1)
10.4881 9.7206 0.0098   7 6 5   6 7 -6   1 1 0   (1)
10.4881 9.7654 0.0098   7 6 -5   7 1 7   3 0 4   (1)
10.4881 9.8007 0.0097   7 6 5   5 -7 5   2 5 1   (1)
10.4881 9.8230 0.0097   7 6 5   7 -5 7   2 4 1   (1)
10.4881 9.8599 0.0097   7 6 -5   1 7 7   1 3 2   (1)
10.4881 9.8673 0.0097   7 5 -6   6 4 7   3 2 3   (1)
10.4881 9.8770 0.0097   7 6 5   -5 7 6   1 0 0   (1)
10.4881 9.8839 0.0096   7 5 6   7 1 -7   1 2 5   (1)
10.4881 9.8990 0.0096   7 6 5   2 7 -7   2 2 1   (1)
10.4881 9.9183 0.0096   7 5 6   -6 7 4   2 3 3   (1)
10.4881 9.9206 0.0096   6 5 -7   1 7 7   0 3 4   (1)
10.4881 9.9334 0.0096   6 5 -7   5 5 7   2 2 3   (1)
10.4881 9.9480 0.0096   6 -7 5   7 7 1   5 1 2   (1)
10.4881 9.9686 0.0096   7 6 5   7 -7 2   3 2 2   (1)
10.4881 9.9936 0.0095   7 6 5   3 7 -7   2 0 5   (1)
10.4881 10.0086 0.0095   7 6 -5   7 7 6   1 1 1   (1)
10.4881 10.0386 0.0095   6 5 -7   4 6 7   1 2 4   (1)
10.4881 10.0774 0.0095   7 5 6   2 7 -7   1 0 2   (1)
10.4881 10.0955 0.0094   7 5 6   -7 2 7   4 1 0   (1)
10.4881 10.1292 0.0094   7 5 -6   7 3 7   2 1 1   (1)
10.4881 10.1422 0.0094   7 6 5   4 7 -7   3 3 1   (1)
10.4881 10.2074 0.0093   7 -5 6   6 7 6   1 1 1   (1)
10.4881 10.2563 0.0093   7 6 5   -6 5 7   1 2 2   (1)
10.4881 10.2576 0.0093   7 5 -6   3 7 7   0 1 2   (1)
10.4881 10.2664 0.0093   7 6 5   7 5 -7   5 4 0   (1)
10.4881 10.2819 0.0093   7 5 -6   6 7 6   3 3 1   (1)
10.4881 10.3159 0.0092   7 6 5   -7 7 3   2 1 1   (1)
10.4881 10.3423 0.0092   7 5 6   5 -7 7   1 4 0   (1)
10.4881 10.3621 0.0092   7 -6 5   7 7 4   2 4 1   (1)
10.4881 10.4877 0.0091   7 -6 5   4 7 7   0 5 2   (1)
6.4031 10.4927 0.0149   6 2 1   -7 7 5   0 3 2   (1)
7.2801 10.4944 0.0131   6 4 1   7 -6 6   1 1 0   (1)
9.4868 10.4955 0.0100   7 5 4   7 -7 5   2 3 1   (1)
9.6954 10.4957 0.0098   7 3 6   7 4 -7   2 1 0   (1)
8.1854 10.4966 0.0116   3 3 -7   7 4 7   2 1 3   (1)
6.5574 10.4970 0.0145   5 3 -3   7 6 7   1 1 2   (1)
3.6056 10.4991 0.0264   3 0 2   -7 4 7   0 1 3   (1)
8.7750 10.4998 0.0109   6 5 4   4 -7 7   1 0 1   (1)
5.1962 10.5022 0.0183   5 1 1   -6 6 7   1 0 0   (1)
7.2801 10.5025 0.0131   7 0 2   4 7 -7   4 1 0   (1)
9.4868 10.5034 0.0100   7 5 4   6 -7 6   2 2 1   (1)
7.8740 10.5050 0.0121   7 -3 2   5 7 7   1 4 3   (1)
7.8740 10.5058 0.0121   5 1 -6   4 7 7   3 3 1   (1)
7.6811 10.5075 0.0124   7 1 3   -7 6 6   4 0 1   (1)
6.4031 10.5113 0.0149   4 4 3   -7 7 4   0 3 2   (1)
5.0990 10.5137 0.0187   5 -1 0   5 7 7   2 3 3   (1)
8.0623 10.5137 0.0118   6 2 -5   7 4 7   2 1 1   (1)
7.0000 10.5143 0.0136   6 2 3   -7 4 7   0 3 5   (1)
6.4031 10.5148 0.0149   4 4 3   6 7 -7   1 1 1   (1)
8.3666 10.5160 0.0114   6 3 5   6 7 -6   1 -1 5   (1)
7.0711 10.5176 0.0134   5 4 3   4 -7 7   2 2 1   (1)
7.6811 10.5204 0.0124   7 1 3   4 7 -7   1 -1 2   (1)
5.9161 10.5207 0.0161   5 1 -3   6 7 6   0 3 5   (1)
9.4340 10.5245 0.0101   7 2 6   7 7 -5   2 0 3   (1)
4.6904 10.5249 0.0203   3 -3 2   7 6 6   1 2 1   (1)
10.0499 10.5295 0.0094   7 6 4   -5 7 7   5 1 0   (1)
5.0990 10.5302 0.0186   4 1 3   -7 7 4   2 0 1   (1)
7.6158 10.5389 0.0125   7 -3 0   6 6 7   1 2 2   (1)
9.2736 10.5401 0.0102   6 -5 5   7 7 5   4 2 3   (1)
6.4807 10.5413 0.0146   5 -4 1   7 7 4   1 3 1   (1)
5.9161 10.5424 0.0160   3 1 -5   7 4 7   4 2 1   (1)
5.0990 10.5430 0.0186   4 -3 1   7 6 6   3 1 2   (1)
8.3066 10.5432 0.0114   7 4 2   4 -7 7   1 1 0   (1)
8.3066 10.5453 0.0114   7 2 4   6 6 -7   2 -1 5   (1)
7.3485 10.5453 0.0129   7 1 2   -6 7 6   0 1 1   (1)
9.2736 10.5461 0.0102   6 5 5   -6 7 6   1 1 1   (1)
5.8310 10.5468 0.0163   4 3 3   5 7 -7   1 1 0   (1)
6.0828 10.5485 0.0156   6 0 -1   6 7 7   1 1 1   (1)
7.3485 10.5506 0.0129   7 1 2   6 7 -7   2 0 1   (1)
5.4772 10.5530 0.0173   2 -5 1   6 7 6   1 1 1   (1)
8.6603 10.5540 0.0109   5 -7 1   7 4 7   1 3 2   (1)
8.1240 10.5565 0.0117   5 -5 4   4 7 7   2 2 3   (1)
9.4340 10.5580 0.0100   7 -6 2   7 7 4   2 1 1   (1)
6.4807 10.5582 0.0146   5 1 -4   7 7 5   4 3 1   (1)
7.0711 10.5584 0.0134   5 3 4   -5 7 7   7 0 1   (1)
3.1623 10.5594 0.0299   3 -1 0   4 7 7   1 2 2   (1)
8.1240 10.5608 0.0117   7 -4 1   6 6 7   2 3 3   (1)
7.0000 10.5608 0.0135   3 -6 2   7 4 7   2 1 2   (1)
8.3066 10.5618 0.0114   7 2 4   -7 4 7   3 1 2   (1)
7.6811 10.5622 0.0123   5 5 3   7 -7 4   0 1 0   (1)
9.1104 10.5659 0.0104   7 5 3   4 -7 7   2 3 0   (1)
9.2195 10.5685 0.0103   7 0 6   -4 7 7   0 2 3   (1)
7.2801 10.5696 0.0130   6 1 4   -4 7 7   1 2 3   (1)
7.0000 10.5724 0.0135   6 3 2   7 -7 6   2 0 1   (1)
6.1644 10.5768 0.0153   6 1 1   -7 6 7   1 0 0   (1)
7.8102 10.5838 0.0121   6 5 0   4 -7 7   3 1 1   (1)
9.9499 10.5840 0.0095   7 7 1   4 -7 7   3 2 1   (1)
6.4031 10.5842 0.0148   4 4 3   4 -7 7   1 3 0   (1)
7.6811 10.5846 0.0123   5 3 -5   7 6 6   1 1 2   (1)
9.2736 10.5847 0.0102   5 5 -6   4 7 7   0 1 4   (1)
7.5498 10.5847 0.0125   5 4 4   5 -7 7   1 0 1   (1)
7.3485 10.5848 0.0129   7 2 1   -6 7 6   2 4 3   (1)
5.0000 10.5849 0.0189   4 3 0   -7 7 4   0 3 1   (1)
7.8740 10.5853 0.0120   6 1 -5   7 4 7   1 1 3   (1)
10.0499 10.5858 0.0094   7 6 4   4 -7 7   2 2 1   (1)
6.7082 10.5883 0.0141   5 2 -4   6 7 6   1 2 3   (1)
7.2801 10.5884 0.0130   4 1 -6   7 4 7   2 1 1   (1)
8.0623 10.5895 0.0117   6 -5 2   7 6 6   4 2 3   (1)
5.9161 10.5911 0.0160   3 1 -5   7 7 4   1 2 4   (1)
5.3852 10.5911 0.0175   5 0 2   -6 6 7   1 1 2   (1)
10.4881 10.5912 0.0090   7 6 5   6 7 -7   1 0 6   (1)
7.0000 10.5926 0.0135   6 2 3   5 7 -7   2 -1 4   (1)
3.7417 10.5931 0.0252   3 1 -2   4 7 7   2 2 1   (1)
3.0000 10.5935 0.0315   2 2 1   -7 7 4   1 0 0   (1)
9.0000 10.5935 0.0105   7 -4 4   6 7 7   3 2 3   (1)
8.8318 10.5987 0.0107   7 -5 2   6 6 7   3 2 3   (1)
8.5440 10.5992 0.0110   6 6 1   4 -7 7   1 3 -1   (1)
8.6023 10.6021 0.0110   7 -4 3   5 7 7   0 2 1   (1)
6.4031 10.6037 0.0147   5 0 -4   4 7 7   3 3 2   (1)
10.4881 10.6049 0.0090   7 6 5   -7 7 4   5 2 2   (1)
7.5498 10.6070 0.0125   5 4 4   -6 7 6   1 1 1   (1)
9.2736 10.6082 0.0102   6 5 -5   5 7 7   0 1 4   (1)
9.2736 10.6110 0.0102   7 1 6   7 4 -7   2 0 3   (1)
9.4340 10.6132 0.0100   7 6 2   -7 4 7   6 1 -2   (1)
8.6603 10.6145 0.0109   7 5 1   7 -6 6   1 1 0   (1)
3.7417 10.6167 0.0252   3 2 1   7 -7 5   1 2 0   (1)
7.1414 10.6181 0.0132   5 1 -5   4 7 7   1 3 4   (1)
8.1240 10.6187 0.0116   7 1 4   7 5 -7   1 0 1   (1)
5.3852 10.6188 0.0175   5 0 2   4 7 -7   3 1 0   (1)
4.1231 10.6191 0.0228   3 -2 2   7 7 6   1 2 1   (1)
6.4031 10.6210 0.0147   5 4 0   7 -7 4   4 0 1   (1)
4.5826 10.6212 0.0205   2 -4 1   7 4 7   2 1 2   (1)
10.4881 10.6216 0.0090   7 6 5   -6 7 6   1 0 0   (1)
4.6904 10.6237 0.0201   3 -3 2   4 7 7   0 5 2   (1)
8.6023 10.6257 0.0109   4 3 -7   7 4 7   2 1 4   (1)
8.7750 10.6277 0.0107   6 5 4   -7 7 4   3 1 1   (1)
5.9161 10.6288 0.0159   5 -3 1   4 7 7   0 3 2   (1)
5.0000 10.6301 0.0188   4 -3 0   4 7 7   3 2 3   (1)
7.0711 10.6301 0.0133   5 3 -4   6 6 7   0 1 5   (1)
8.0623 10.6309 0.0117   6 5 2   -7 4 7   2 2 1   (1)
5.3852 10.6318 0.0175   4 2 3   7 5 -7   1 0 5   (1)
4.1231 10.6329 0.0228   4 -1 0   5 7 7   2 3 3   (1)
6.5574 10.6334 0.0143   5 3 3   6 7 -7   2 0 5   (1)
7.3485 10.6345 0.0128   2 -7 1   7 4 7   2 1 2   (1)
6.7823 10.6353 0.0139   6 3 1   7 -6 7   1 4 -2   (1)
7.6158 10.6374 0.0123   7 0 3   -4 7 7   0 4 5   (1)
4.3589 10.6376 0.0216   3 1 -3   7 4 7   2 1 1   (1)
7.8102 10.6394 0.0120   6 5 0   -7 7 4   1 4 1   (1)
10.0499 10.6395 0.0094   6 4 -7   7 4 7   2 1 5   (1)
2.2361 10.6395 0.0420   2 1 0   -7 7 5   0 2 1   (1)
7.8740 10.6400 0.0119   3 -7 2   7 4 7   2 1 2   (1)
8.7750 10.6405 0.0107   6 -5 4   7 6 7   0 5 1   (1)
9.1104 10.6409 0.0103   7 3 5   -7 7 4   3 0 1   (1)
5.7446 10.6415 0.0164   4 -4 1   4 7 7   1 4 3   (1)
9.6954 10.6416 0.0097   7 -6 3   6 6 7   0 5 2   (1)
8.1240 10.6423 0.0116   7 4 1   -4 7 7   2 2 1   (1)
5.8310 10.6426 0.0161   3 3 -4   7 4 7   1 0 4   (1)
7.0711 10.6452 0.0133   5 3 -4   7 5 7   3 2 1   (1)
8.6023 10.6460 0.0109   7 5 0   4 -7 7   2 0 1   (1)
8.3666 10.6463 0.0112   6 3 5   -5 7 7   4 0 1   (1)
10.4881 10.6468 0.0090   7 5 6   -6 7 6   0 1 1   (1)
3.7417 10.6469 0.0251   3 2 1   -7 7 4   1 0 0   (1)
8.8318 10.6476 0.0106   7 2 -5   4 7 7   2 2 1   (1)
7.6811 10.6485 0.0122   5 5 3   4 -7 7   1 0 1   (1)
7.6158 10.6488 0.0123   7 3 0   -6 7 6   1 2 1   (1)
9.2195 10.6500 0.0102   7 6 0   7 -7 4   5 1 1   (1)
9.2736 10.6504 0.0101   7 6 1   4 -7 7   3 0 2   (1)
6.7082 10.6510 0.0140   5 2 4   -7 7 4   0 1 1   (1)
8.6023 10.6511 0.0109   7 -4 3   7 7 6   2 3 2   (1)
9.1104 10.6522 0.0103   7 3 5   6 6 -7   2 1 1   (1)
9.6954 10.6526 0.0097   7 3 -6   4 7 7   0 1 2   (1)
7.0711 10.6536 0.0133   4 -5 3   7 7 4   2 4 1   (1)
5.7446 10.6543 0.0163   4 -4 1   7 7 4   2 1 1   (1)
10.0995 10.6546 0.0093   7 -7 2   4 7 7   3 1 3   (1)
7.6811 10.6548 0.0122   5 3 -5   6 7 6   1 2 4   (1)
8.7750 10.6552 0.0107   5 4 -6   4 7 7   2 3 2   (1)
7.8102 10.6579 0.0120   6 4 3   -7 4 7   4 1 0   (1)
8.3666 10.6603 0.0112   6 3 5   -7 4 7   1 0 0   (1)
5.0990 10.6609 0.0184   5 0 -1   6 7 7   1 1 1   (1)
7.1414 10.6624 0.0131   5 5 1   7 -7 4   1 2 0   (1)
9.0000 10.6626 0.0104   4 4 -7   4 7 7   1 2 3   (1)
3.6056 10.6627 0.0260   3 0 2   4 7 -7   2 1 0   (1)
9.6954 10.6646 0.0097   7 3 6   -7 4 7   2 1 2   (1)
6.4031 10.6668 0.0146   2 -6 1   7 4 7   2 1 2   (1)
8.5440 10.6668 0.0110   6 1 -6   7 4 7   0 1 5   (1)
4.3589 10.6672 0.0215   3 1 -3   4 7 7   0 1 2   (1)
2.2361 10.6677 0.0419   2 -1 0   4 7 7   1 2 2   (1)
7.2801 10.6691 0.0129   6 4 1   4 -7 7   5 0 3   (1)
7.8740 10.6703 0.0119   6 1 5   -7 4 7   0 2 5   (1)
3.7417 10.6704 0.0250   3 1 -2   6 6 7   1 2 4   (1)
8.0623 10.6706 0.0116   6 -5 2   4 7 7   1 4 3   (1)
5.3852 10.6706 0.0174   3 -4 2   4 7 7   2 2 3   (1)
3.0000 10.6719 0.0312   2 2 1   -7 4 7   0 1 1   (1)
9.2736 10.6722 0.0101   7 1 6   -7 4 7   2 0 1   (1)
6.5574 10.6727 0.0143   3 3 -5   4 7 7   1 2 3   (1)
10.0499 10.6729 0.0093   7 6 4   -7 4 7   3 1 0   (1)
4.1231 10.6743 0.0227   2 2 -3   4 7 7   1 2 3   (1)
9.1104 10.6748 0.0103   7 3 5   -7 4 7   1 0 0   (1)
6.7823 10.6750 0.0138   6 1 3   -7 6 6   0 3 4   (1)
5.3852 10.6755 0.0174   3 2 -4   7 4 7   2 1 5   (1)
5.4772 10.6755 0.0171   2 -5 1   7 4 7   2 1 2   (1)
5.8310 10.6757 0.0161   5 3 0   -4 7 7   0 4 3   (1)
6.4807 10.6760 0.0145   5 -4 1   4 7 7   2 1 2   (1)
6.7082 10.6760 0.0140   5 2 4   -7 4 7   2 1 2   (1)
7.3485 10.6762 0.0127   5 -5 2   4 7 7   0 2 1   (1)
8.0623 10.6764 0.0116   6 5 2   -7 7 4   0 2 1   (1)
8.3666 10.6764 0.0112   5 3 -6   4 7 7   1 3 5   (1)
9.4340 10.6766 0.0099   6 2 -7   7 4 7   1 1 5   (1)
9.4868 10.6766 0.0099   7 4 5   -7 7 4   4 0 1   (1)
10.6771 0.7071 0.1325   7 7 4   3 4 2   3 0 1   (1)
10.6771 0.7194 0.1302   7 7 4   2 1 1   0 1 0   (1)
10.6771 0.7551 0.1240   7 7 4   1 0 0   0 2 1   (1)
10.6771 0.8111 0.1155   7 7 4   2 3 1   0 1 0   (1)
10.6771 0.8836 0.1060   7 7 4   2 3 2   0 1 1   (1)
10.6771 0.9688 0.0967   7 7 4   1 0 1   1 2 0   (1)
10.6771 1.0638 0.0880   7 7 4   2 1 0   0 1 1   (1)
10.6771 1.1660 0.0803   7 7 4   3 4 1   1 2 0   (1)
10.6771 1.2739 0.0735   7 7 4   2 1 2   0 1 -1   (1)
10.6771 1.3860 0.0676   7 7 4   1 0 -1   3 2 0   (1)
10.6771 1.4204 0.0659   7 7 4   3 1 1   2 -1 0   (1)
10.6771 1.4690 0.0638   7 7 4   2 0 1   0 1 0   (1)
10.6771 1.5015 0.0624   7 7 4   3 2 0   -1 0 1   (1)
10.6771 1.5616 0.0600   7 7 4   2 4 1   0 1 0   (1)
10.6771 1.6195 0.0578   7 7 4   2 3 3   0 1 2   (1)
10.6771 1.6910 0.0554   7 7 4   -1 1 1   4 1 0   (1)
10.6771 1.7396 0.0538   7 7 4   1 0 2   2 2 1   (1)
10.6771 1.8496 0.0506   7 7 4   3 5 1   1 0 1   (1)
10.6771 1.8614 0.0503   7 7 4   2 1 -1   0 1 2   (1)
10.6771 1.9846 0.0472   7 7 4   4 3 0   2 2 1   (1)
10.6771 2.0305 0.0461   7 7 4   2 0 -1   0 1 1   (1)
10.6771 2.1089 0.0444   7 7 4   2 1 3   0 1 -2   (1)
10.6771 2.1255 0.0441   7 7 4   3 0 1   1 3 1   (1)
10.6771 2.1378 0.0438   7 7 4   -1 2 0   2 1 1   (1)
10.6771 2.1865 0.0428   7 7 4   1 4 2   0 2 1   (1)
10.6771 2.2223 0.0421   7 7 4   2 -1 1   0 1 0   (1)
10.6771 2.2282 0.0420   7 7 4   1 3 3   2 1 0   (1)
10.6771 2.2341 0.0419   7 7 4   1 0 -2   2 2 1   (1)
10.6771 2.3151 0.0405   7 7 4   2 5 1   0 1 0   (1)
10.6771 2.3601 0.0397   7 7 -4   3 2 1   1 0 2   (1)
10.6771 2.3712 0.0395   7 7 4   3 0 2   2 3 1   (1)
10.6771 2.4387 0.0384   7 7 4   1 3 -1   2 1 2   (1)
10.6771 2.4868 0.0377   7 7 4   4 5 0   1 0 3   (1)
10.6771 2.5009 0.0375   7 7 4   1 4 0   1 -1 1   (1)
10.6771 2.5735 0.0364   7 7 4   4 1 3   1 -1 1   (1)
10.6771 2.6141 0.0358   7 7 4   1 0 3   2 2 1   (1)
10.6771 2.6590 0.0352   7 7 4   2 0 3   0 1 -1   (1)
10.6771 2.7322 0.0343   7 7 4   3 0 -1   2 3 2   (1)
10.6771 2.7418 0.0342   7 7 4   2 1 -2   0 1 3   (1)
10.6771 2.8176 0.0332   7 7 4   2 5 0   1 0 1   (1)
10.6771 2.8315 0.0331   7 7 4   0 4 1   3 0 1   (1)
10.6771 2.8562 0.0328   7 4 -7   3 1 1   1 0 2   (1)
10.6771 2.8700 0.0326   7 7 4   4 3 -1   2 2 1   (1)
10.6771 2.8868 0.0324   7 7 -4   4 2 1   1 0 1   (1)
10.6771 2.9049 0.0322   7 7 4   5 1 1   1 2 1   (1)
10.6771 2.9765 0.0315   7 7 4   2 -2 1   0 1 0   (1)
10.6771 2.9985 0.0312   7 7 4   1 -2 2   1 0 1   (1)
10.6771 3.0694 0.0305   7 7 4   2 6 1   0 1 0   (1)
10.6771 3.0936 0.0303   7 7 4   4 1 -1   2 1 0   (1)
10.6771 3.1204 0.0300   7 7 4   -1 1 3   3 2 0   (1)
10.6771 3.1274 0.0299   7 7 4   1 0 -3   2 2 1   (1)
10.6771 3.1816 0.0294   7 7 4   1 -3 1   3 0 2   (1)
10.6771 3.2566 0.0288   7 7 -4   3 2 2   1 0 3   (1)
10.6771 3.2914 0.0285   7 7 4   -1 2 3   2 1 0   (1)
10.6771 3.3113 0.0283   7 7 4   4 0 3   1 4 0   (1)
10.6771 3.3587 0.0279   7 7 4   3 5 -1   1 0 2   (1)
10.6771 3.3860 0.0277   7 7 4   3 2 5   2 2 1   (1)
10.6771 3.3938 0.0276   7 7 4   3 0 -2   1 3 3   (1)
10.6771 3.4565 0.0271   7 7 4   0 4 -1   3 2 2   (1)
10.6771 3.5156 0.0266   7 7 4   1 0 4   2 2 1   (1)
10.6771 3.5380 0.0265   7 7 4   4 -1 1   0 4 1   (1)
10.6771 3.5454 0.0264   7 7 4   3 -2 0   0 3 1   (1)
10.6771 3.5578 0.0263   7 7 4   5 0 1   2 -1 0   (1)
10.6771 3.5750 0.0262   7 7 4   0 5 2   1 2 1   (1)
10.6771 3.6007 0.0260   7 7 4   2 0 -3   0 1 2   (1)
10.6771 3.6043 0.0260   7 7 4   3 0 4   1 3 -1   (1)
10.6771 3.6153 0.0259   7 -7 4   3 1 3   0 3 1   (1)
10.6771 3.6238 0.0258   7 7 4   4 -1 0   1 2 1   (1)
10.6771 3.6455 0.0257   7 7 4   2 1 -3   2 2 1   (1)
10.6771 3.6551 0.0256   7 7 4   1 6 1   2 0 1   (1)
10.6771 3.6909 0.0254   7 7 4   4 -1 2   2 0 1   (1)
10.6771 3.7122 0.0252   7 7 4   -2 1 3   1 2 2   (1)
10.6771 3.7311 0.0251   7 7 4   2 -3 1   0 1 0   (1)
10.6771 3.7755 0.0248   7 7 4   4 3 -2   2 2 1   (1)
10.6771 3.7859 0.0247   7 7 4   1 5 -1   1 0 1   (1)
10.6771 3.8240 0.0245   7 7 4   0 5 3   1 0 0   (1)
10.6771 3.8457 0.0244   7 7 4   1 3 5   2 1 -1   (1)
10.6771 3.8764 0.0242   7 7 4   3 -2 2   2 4 1   (1)
10.6771 3.9057 0.0240   7 7 4   2 1 5   2 2 1   (1)
10.6771 3.9325 0.0238   7 7 4   -4 1 1   0 3 2   (1)
10.6771 3.9670 0.0236   7 7 4   2 -2 3   1 0 1   (1)
10.6771 3.9923 0.0235   7 7 4   6 1 0   3 2 1   (1)
10.6771 4.0360 0.0232   7 7 4   1 0 -4   2 2 1   (1)
10.6771 4.0447 0.0232   7 -7 4   2 1 4   0 1 1   (1)
10.6771 4.0932 0.0229   7 7 4   1 3 -3   2 1 3   (1)
10.6771 4.1220 0.0227   7 7 4   -3 2 2   3 2 1   (1)
10.6771 4.1570 0.0225   7 7 4   6 2 -1   2 1 0   (1)
